part,difficulty,question_text,choice_a,choice_b,choice_c,choice_d,correct_choice,explanation,tags
part5,beginner,"The meeting will begin _____ 10 a.m.","at","on","in","by",A,"時刻の前には at を使います。","grammar,prepositions"
part5,beginner,"Ms. Tanaka is responsible _____ preparing the monthly report.","for","to","of","with",A,"be responsible for が正しい形です。","grammar,prepositions"
part5,beginner,"Please send the invoice to _____ by Friday.","we","us","our","ours",B,"前置詞 to の後は目的格 us を使います。","grammar,pronouns"
part5,beginner,"The new printer is _____ than the old one.","fast","faster","fastest","more fast",B,"比較級 faster が適切です。","grammar,comparatives"
part5,beginner,"All employees must wear their ID badges _____ entering the building.","when","because","although","unless",A,"建物に入る時を表す when が自然です。","grammar,conjunctions"
part5,intermediate,"The manager asked the team to submit the proposal as _____ as possible.","soon","sooner","soonest","the soon",A,"as soon as possible が定型表現です。","grammar,phrases"
part5,intermediate,"The shipment was delayed _____ heavy rain near the airport.","because","due to","while","despite",B,"名詞句 heavy rain の前には due to が使えます。","grammar,connectors"
part5,intermediate,"If the client _____ the contract today, production will start next week.","sign","signs","signed","has signed",B,"条件節では現在形 signs を使います。","grammar,conditionals"
part5,advanced,"The software update, _____ was released yesterday, fixes several security issues.","who","whose","which","what",C,"先行詞が物なので関係代名詞 which が適切です。","grammar,relative-clauses"
part5,advanced,"Had we received the documents earlier, we _____ the order last week.","process","processed","would process","would have processed",D,"仮定法過去完了の主節は would have 過去分詞です。","grammar,conditionals"
part2,beginner,"Where is the nearest copy machine?","It is next to the reception desk.","I copied the file yesterday.","There are three copies.",A,"場所を尋ねているため位置を答えるAが適切です。","listening,response"
part2,beginner,"When will the training session start?","In Conference Room B.","At nine thirty.","For new employees.",B,"Whenへの回答なので時刻を答えるBが適切です。","listening,response"
part2,beginner,"Who ordered the office supplies?","The supplies are in the cabinet.","Ms. Lee did.","Yes, we need more paper.",B,"Whoへの回答なので人物を答えるBが適切です。","listening,response"
part2,intermediate,"Would you like me to reserve a taxi?","No, I already booked one.","It is a yellow taxi.","The reserve fund is ready.",A,"申し出への返答としてAが自然です。","listening,response"
part2,intermediate,"How often do you update the inventory list?","In the storage room.","Every Friday afternoon.","The list is on my desk.",B,"How oftenへの回答なので頻度を答えるBが適切です。","listening,response"
part7,beginner,"Email: Please arrive at the lobby by 8:45 a.m. The shuttle bus will leave at 9:00 a.m. What time will the shuttle bus leave?","8:30 a.m.","8:45 a.m.","9:00 a.m.","9:15 a.m.",C,"本文に9:00 a.m.に出発するとあります。","reading,email"
part7,beginner,"Notice: The cafeteria will be closed on Monday for cleaning. It will reopen on Tuesday morning. Why will the cafeteria be closed?","For a staff meeting","For cleaning","For renovation","For a holiday party",B,"Noticeにfor cleaningとあります。","reading,notice"
part7,intermediate,"Memo: All sales staff must submit travel receipts by the end of the month to receive reimbursement. What should employees submit?","Travel receipts","Sales forecasts","Monthly schedules","Customer surveys",A,"reimbursementを受けるためにtravel receiptsを提出します。","reading,memo"
part7,intermediate,"Advertisement: Buy two notebooks and get a third one free through June 30. What is being offered?","Free delivery","A discounted pen","A free notebook","An extended warranty",C,"3冊目のノートが無料になるキャンペーンです。","reading,advertisement"
part7,advanced,"Article: After a successful pilot program, Greenline Delivery will expand its evening service to three additional districts next month. What will the company do next month?","End its pilot program","Open a new warehouse","Expand evening service","Reduce delivery districts",C,"本文にevening serviceを3地区へ拡大するとあります。","reading,article"
